City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
394,Naze,JP,70.52,scattered clouds,28.3667,129.4833,Shishime Hotel
395,Viedma,AR,68.94,overcast clouds,-40.8135,-62.9967,Hotel Cristal
401,Sambava,MG,77.31,broken clouds,-14.2667,50.1667,Melrose
402,Sabang,ID,84.15,scattered clouds,5.8933,95.3214,Hotel Citra
403,Cockburn Town,TC,77.7,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
406,Zambezi,ZM,71.33,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
408,Tucuman,AR,78.8,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
409,Santa Maria,BR,78.46,clear sky,-29.6842,-53.8069,Hotel Morotin
410,West Plains,US,72.43,few clouds,36.7281,-91.8524,West Plains Motel
414,Jalu,LY,84.33,scattered clouds,29.0331,21.5482,صاحبة الفخامة
418,Elat,IL,79.72,clear sky,29.5581,34.9482,Club Hotel Eilat
420,Ranchuelo,CU,84.16,few clouds,22.3772,-80.1489,casa De El Pata
425,Port Moresby,PG,75.36,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
426,Colares,PT,65.34,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
427,Hervey Bay,AU,67.01,broken clouds,-25.2986,152.8535,Shelly Bay Resort
428,Hirara,JP,77.38,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
430,Maunabo,PR,84.52,broken clouds,18.0072,-65.8993,Maunacaribe
431,Maoming,CN,76.86,few clouds,21.65,110.9,Jinhui Hotel
433,Marawi,PH,69.57,broken clouds,7.9986,124.2928,Derogongan Residence
438,Do Gonbadan,IR,78.35,overcast clouds,30.3586,50.7981,شبکه بهداشت و درمان گچساران
439,Ilheus,BR,83.03,scattered clouds,-14.7889,-39.0494,Barravento Hotel
440,Quelimane,MZ,73.13,clear sky,-17.8786,36.8883,Hotel Flamingo
441,Padang,ID,77.99,light rain,-0.9492,100.3543,Mercure Padang
442,Honiara,SB,76.93,broken clouds,-9.4333,159.95,Heritage Park Hotel
443,Mackay,AU,71.69,overcast clouds,-21.15,149.2,International Lodge Motel
444,Moron,AR,79.02,clear sky,-34.6534,-58.6198,Hotel Morón
445,Alofi,NU,78.58,light rain,-19.0595,-169.9187,Taloa Heights
446,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
451,Tadine,NC,73.11,overcast clouds,-21.55,167.8833,El Medina
452,Sisophon,KH,83.19,light rain,13.5859,102.9737,Pyramid Hotel
453,Abonnema,NG,78.26,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
456,Sakakah,SA,73.24,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
457,Korla,CN,69.26,broken clouds,41.7597,86.1469,Gulisitan Hotel
461,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
462,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
464,Chiang Rai,TH,80.31,scattered clouds,19.9167,99.9167,Imsuk Homestay at Chiang Rai
467,Pointe Michel,DM,78.66,overcast clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
468,Moyale,KE,67.53,moderate rain,3.5167,39.0584,La Tahzan Guest House
469,Tutoia,BR,79.99,scattered clouds,-2.7619,-42.2744,Pousada Guará's
472,Peniche,PT,65.08,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
473,Ambulu,ID,76.21,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
474,Senanga,ZM,70.66,broken clouds,-16.1167,23.2667,Zango lodge
482,Roxas,PH,78.15,overcast clouds,11.5853,122.7511,Urban Manor Hotel
483,Mogadishu,SO,83.59,overcast clouds,2.0371,45.3438,Hotel Juba
484,Concordia,AR,84.27,scattered clouds,-31.393,-58.0209,Palmar Hotel Casino
492,Nha Trang,VN,78.8,broken clouds,12.25,109.1833,Hanoi Golden Hotel
493,Kafue,ZM,68.9,broken clouds,-15.7691,28.1814,Purview Lodges Ltd
496,Neiafu,TO,74.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
498,Camocim,BR,81.43,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
500,Buraydah,SA,68.45,overcast clouds,26.326,43.975,Mövenpick Qassim
503,Lamu,KE,82.18,broken clouds,-2.2717,40.902,Lamu House
504,Wooster,US,83.28,scattered clouds,40.8051,-81.9351,Hilton Garden Inn Wooster
511,Kieta,PG,77.94,light rain,-6.2167,155.6333,Uruna Bay Retreat
517,Nishihara,JP,75.25,few clouds,26.1842,127.7558,Minshuku Agaihama
522,Jiaozuo,CN,72.63,light rain,35.2397,113.2331,Days Hotel and Suites Jiaozuo
524,Tubuala,PA,82.47,scattered clouds,9.5167,-79.0333,Río Nabagana
525,Bisira,PA,69.89,overcast clouds,8.5196,-81.7115,El Medina
529,Karaton,ID,74.93,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
531,Mayo,US,83.12,clear sky,38.8876,-76.5119,Resorts Resource Group International
532,Tabou,CI,83.48,overcast clouds,4.423,-7.3528,hotêl doufoulougou
533,Vanimo,PG,78.44,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
534,Kununurra,AU,69.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
535,San Cristobal,VE,69.98,broken clouds,7.7669,-72.225,Pirineos
536,Oistins,BB,84.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
537,Shakawe,BW,71.28,few clouds,-18.3667,21.85,Ditlhapi Guest House
538,Pyapon,MM,84.11,few clouds,16.2833,95.6833,Aung Naing Thu Motel
541,Snyder,US,72.09,overcast clouds,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
542,Kisangani,CD,71.92,overcast clouds,0.5167,25.2,Grand Ramela Hotel
545,Poplar Bluff,US,76.73,overcast clouds,36.757,-90.3929,Holiday Inn Poplar Bluff
546,Mangrol,IN,82.11,clear sky,21.1167,70.1167,Hotel The Royal Honours
548,Bima,ID,75.2,few clouds,-8.4667,118.7167,Lambitu Hotel
550,Espera Feliz,BR,75.81,scattered clouds,-20.6503,-41.9072,Pousada Encanto Das Montanhas
551,Hun,LY,78.55,clear sky,29.1268,15.9477,Alrwasi Hotel
553,Lakatoro,VU,77.56,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
557,Neuquen,AR,75.09,scattered clouds,-38.9516,-68.0591,Hotel del Comahue
561,Cayhagan,PH,79.75,scattered clouds,9.6697,122.4256,Melrose Beach Resort
562,Peruibe,BR,73.63,overcast clouds,-24.32,-46.9983,Hotel Pousada Xapuri
565,Safaga,EG,77.23,few clouds,26.7292,33.9365,Lamar Resort Abu Soma
569,Vao,NC,74.03,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
571,Bahia Honda,CU,82.81,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
575,Kembe,CF,73.63,light rain,4.6228,21.8865,El Medina
577,Pokhara,NP,72.45,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
578,Coromandel,BR,84.0,overcast clouds,-18.4733,-47.2003,Hotel Dona Adélia
579,Juba,SS,72.1,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
580,Beloha,MG,76.26,overcast clouds,-25.1667,45.05,El Medina
581,Mangaratiba,BR,76.12,few clouds,-22.9597,-44.0406,Portobello Resort & Safari
587,Sao Joao Da Barra,BR,84.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
589,Vallenar,CL,75.33,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
590,Heze,CN,71.13,light rain,35.2431,115.4411,Hanting Express Heze North Mudang Road University Town
597,Las Margaritas,MX,80.35,clear sky,16.3167,-91.9833,Fam Esponda Arguello
602,Nasipit,PH,74.43,overcast clouds,8.9692,125.2947,Felipa T. Noble
604,Marsh Harbour,BS,76.01,clear sky,26.5412,-77.0636,Abaco Beach Resort
605,Yangambi,CD,73.04,light rain,0.8102,24.4336,El Medina
610,Rocha,UY,77.92,clear sky,-34.4833,-54.3333,Hotel Arrarte
615,Koumac,NC,72.81,scattered clouds,-20.5667,164.2833,Le Monitel
616,Maragogi,BR,82.85,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
617,Fengxian,CN,70.09,moderate rain,34.7039,116.5872,Tongrenju Hotel
618,Praxedis Guerrero,MX,76.46,clear sky,31.3667,-106.0167,Congregación placitas de Otero
620,Ixtapa,MX,79.83,clear sky,20.7,-105.2,hotel la terminal
625,Paita,PE,74.53,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
629,Lorengau,PG,80.4,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
634,Kirakira,SB,78.8,overcast clouds,-10.4544,161.9205,SanBiz Lodge
637,Gazanjyk,TM,74.91,broken clouds,39.2446,55.5154,Railway motel
640,Nagua,DO,82.71,broken clouds,19.3832,-69.8474,Hotel Cambri
641,Manta,EC,83.98,scattered clouds,-0.95,-80.7333,Balandra Hotel
643,Mapiripan,CO,79.65,overcast clouds,2.8892,-72.1256,Monserrate
644,Beaumont,US,84.24,broken clouds,30.0861,-94.1019,Super 8 by Wyndham Beaumont
647,Taltal,CL,65.75,clear sky,-25.4,-70.4833,Residencial Karime
653,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
654,Porto Real,BR,79.21,scattered clouds,-22.4197,-44.2903,Hotel Porto Real
655,Port Shepstone,ZA,66.06,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
659,Baghdad,IQ,69.71,scattered clouds,33.3406,44.4009,Baghdad Hotel
660,Vero Beach,US,83.03,overcast clouds,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
662,Mulege,MX,78.04,clear sky,26.8833,-111.9833,Casa Granada
663,Puqi,CN,71.04,overcast clouds,29.7167,113.8833,Ramada Plaza Chibi
667,Belen,TR,66.34,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
668,Lazaro Cardenas,MX,83.1,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
669,Dingle,PH,77.0,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
670,Kalmunai,LK,81.81,few clouds,7.4167,81.8167,VS Villa
672,General Roca,AR,77.63,broken clouds,-39.0333,-67.5833,Hotel El Recreo
673,Mumford,GH,81.57,moderate rain,5.2618,-0.759,Spanish Villa
674,Oriximina,BR,84.09,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
676,Marshall,US,82.38,scattered clouds,34.3834,-86.3333,Riverview Campground
