City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
391,Huron,US,41.1501,-82.5499,81.84,55,75,19.22,broken clouds
392,Auki,SB,-8.7676,160.7034,77.11,87,69,3.09,broken clouds
393,Wichita Falls,US,33.9137,-98.4934,53.74,89,100,25.32,moderate rain
394,Naze,JP,28.3667,129.4833,70.52,93,34,7.07,scattered clouds
395,Viedma,AR,-40.8135,-62.9967,68.94,39,100,20.04,overcast clouds
396,Saint George,US,37.1041,-113.5841,64.44,22,0,4.61,clear sky
397,Ayapel,CO,8.3137,-75.1398,88.95,58,22,4.43,few clouds
398,Athabasca,CA,54.7169,-113.2854,51.51,58,6,9.91,clear sky
399,Havre-Saint-Pierre,CA,50.2334,-63.5986,42.96,58,66,14.74,broken clouds
400,Camacha,PT,33.0833,-16.3333,63.82,63,20,14.97,few clouds
401,Sambava,MG,-14.2667,50.1667,77.31,84,78,11.05,broken clouds
402,Sabang,ID,5.8933,95.3214,84.15,74,27,6.42,scattered clouds
403,Cockburn Town,TC,21.4612,-71.1419,77.7,72,92,19.22,overcast clouds
404,Tineo,ES,43.3376,-6.4145,49.62,81,91,2.19,overcast clouds
405,Simao,CN,22.7886,100.9748,63.28,69,2,2.48,clear sky
406,Zambezi,ZM,-13.5432,23.1047,71.33,69,91,5.21,overcast clouds
407,Suntar,RU,62.1444,117.6319,25.14,92,100,3.2,overcast clouds
408,Tucuman,AR,-26.8241,-65.2226,78.8,61,20,3.44,few clouds
409,Santa Maria,BR,-29.6842,-53.8069,78.46,52,0,7.38,clear sky
410,West Plains,US,36.7281,-91.8524,72.43,76,20,11.5,few clouds
411,Karla,EE,59.3723,24.9275,44.31,75,100,13.8,light rain
412,Thunder Bay,CA,48.4001,-89.3168,50.29,93,98,10.29,overcast clouds
413,Palmer,US,42.1584,-72.3287,58.62,41,100,4.61,overcast clouds
414,Jalu,LY,29.0331,21.5482,84.33,13,30,8.16,scattered clouds
415,Lodwar,KE,3.1191,35.5973,89.55,41,84,16.13,broken clouds
416,Nikki,BJ,9.9401,3.2108,93.88,26,79,4.47,broken clouds
417,Qaqortoq,GL,60.7167,-46.0333,38.75,85,88,8.72,overcast clouds
418,Elat,IL,29.5581,34.9482,79.72,33,4,7.27,clear sky
419,Mims,US,28.6653,-80.8448,85.33,64,75,11.5,broken clouds
420,Ranchuelo,CU,22.3772,-80.1489,84.16,43,23,16.71,few clouds
421,Heihe,CN,50.2441,127.4902,41.58,47,92,7.14,overcast clouds
422,Talnakh,RU,69.4865,88.3972,-5.96,100,63,2.1,broken clouds
423,Seymchan,RU,62.8833,152.4333,20.55,95,100,7.16,light snow
424,Sivas,TR,39.7916,37.0019,59.63,51,0,10.36,clear sky
425,Port Moresby,PG,-9.4431,147.1797,75.36,86,100,3.44,overcast clouds
426,Colares,PT,38.7992,-9.4469,65.34,69,20,13.0,few clouds
427,Hervey Bay,AU,-25.2986,152.8535,67.01,87,72,8.01,broken clouds
428,Hirara,JP,24.8,125.2833,77.38,91,0,11.95,clear sky
429,Faya,SA,18.3851,42.4509,63.12,44,45,4.72,scattered clouds
430,Maunabo,PR,18.0072,-65.8993,84.52,74,54,13.58,broken clouds
431,Maoming,CN,21.65,110.9,76.86,94,19,11.95,few clouds
432,Alice Springs,AU,-23.7,133.8833,60.35,94,75,4.61,broken clouds
433,Marawi,PH,7.9986,124.2928,69.57,93,74,1.45,broken clouds
434,Zasheyek,RU,67.4066,32.5499,35.44,94,99,3.71,overcast clouds
435,Dingli,MT,35.8614,14.3822,63.81,72,0,4.61,clear sky
436,San Juan,AR,-31.5375,-68.5364,94.15,8,0,4.99,clear sky
437,Vardo,NO,70.3705,31.1107,35.58,93,75,4.61,broken clouds
438,Do Gonbadan,IR,30.3586,50.7981,78.35,24,100,2.71,overcast clouds
439,Ilheus,BR,-14.7889,-39.0494,83.03,71,38,6.58,scattered clouds
440,Quelimane,MZ,-17.8786,36.8883,73.13,96,8,4.52,clear sky
441,Padang,ID,-0.9492,100.3543,77.99,90,100,4.72,light rain
442,Honiara,SB,-9.4333,159.95,76.93,84,61,3.33,broken clouds
443,Mackay,AU,-21.15,149.2,71.69,83,100,24.4,overcast clouds
444,Moron,AR,-34.6534,-58.6198,79.02,33,4,12.77,clear sky
445,Alofi,NU,-19.0595,-169.9187,78.58,76,99,10.76,light rain
446,Kahului,US,20.8947,-156.47,75.85,76,40,12.66,scattered clouds
447,Taiyuan,CN,37.8694,112.5603,57.06,47,0,2.24,clear sky
448,Batemans Bay,AU,-35.7167,150.1833,58.1,90,97,2.73,overcast clouds
449,Sidi Ali,DZ,36.0998,0.4206,59.5,67,88,4.16,overcast clouds
450,Dudinka,RU,69.4058,86.1778,-10.52,100,83,3.27,broken clouds
451,Tadine,NC,-21.55,167.8833,73.11,75,86,16.31,overcast clouds
452,Sisophon,KH,13.5859,102.9737,83.19,73,75,5.86,light rain
453,Abonnema,NG,4.7084,6.7931,78.26,82,100,5.35,overcast clouds
454,Tuatapere,NZ,-46.1333,167.6833,52.16,90,100,7.02,overcast clouds
455,Ocos,GT,14.5094,-92.1933,91.58,67,0,8.08,clear sky
456,Sakakah,SA,29.9697,40.2064,73.24,55,76,23.42,broken clouds
457,Korla,CN,41.7597,86.1469,69.26,24,72,8.14,broken clouds
458,Guerrero,MX,17.6667,-100.0,89.51,26,34,2.98,scattered clouds
459,Malakoff,FR,48.8167,2.3,64.22,52,0,9.22,clear sky
460,Tsumeb,NA,-19.2333,17.7167,73.47,31,39,5.14,scattered clouds
461,Praia,CV,14.9215,-23.5087,82.94,42,0,14.97,clear sky
462,Denpasar,ID,-8.65,115.2167,82.06,88,20,4.61,few clouds
463,Gravelbourg,CA,49.8834,-106.5512,44.06,52,96,16.2,overcast clouds
464,Chiang Rai,TH,19.9167,99.9167,80.31,89,42,0.58,scattered clouds
